epoch,train_loss,val_loss
1,0.003685615228388407,0.00016073988529159008
2,0.00017784464144397942,0.000357199797523184
3,0.0001511709024481677,0.00011239067241601253
4,0.0002356653584791203,0.0002868453836383489
5,0.00010533692296041795,0.0001262208632257944
6,9.879086706784223e-05,0.00011521132615072915
7,0.00010916062746498988,9.530287865122437e-05
8,0.00019158358990440592,0.0002280584347096263
9,8.958413290909946e-05,7.579896459169633e-05
10,6.783567752597512e-05,5.504175665382385e-05
11,9.544980683710822e-05,4.388696308959321e-05
12,7.062555451402032e-05,0.00010133143660992276
13,5.744980177840648e-05,4.89050644667144e-05
14,6.329227150669777e-05,6.288057312603783e-05
15,7.465533551119883e-05,0.00014544525273511033
16,4.981833353494826e-05,4.725072965522644e-05
17,6.570287581798818e-05,9.935443314142182e-05
18,6.758527756483677e-05,3.132157742965412e-05
19,3.708667265216293e-05,3.887800741895446e-05
20,4.0767399060018575e-05,3.5609709584324476e-05
21,5.22203131893253e-05,2.8255209294992266e-05
22,8.257713387564628e-05,3.639890581729382e-05
23,3.1409926339047993e-05,2.9171752853664676e-05
24,4.446625226034468e-05,0.00012469722978984753
25,4.496924282079491e-05,3.739779371238376e-05
26,3.096263331713933e-05,5.102470270162363e-05
27,4.087245524269858e-05,3.293423837277803e-05
28,3.3496069431478354e-05,6.164371176207302e-05
29,5.503279002923455e-05,5.5734720299309746e-05
