epoch,train_loss,val_loss
1,0.005338522748508442,0.00038849347323642277
2,0.0003352301273615094,0.00062822388377209
3,0.0003175601917674688,0.00020154552211285184
4,0.00021227264885437862,0.00023798721411665322
5,0.0001672600005899969,0.000142197303617331
6,0.00022857709606335079,0.00012509932931273186
7,0.0001326066757359873,0.0001042617873734621
8,0.00020091065392165828,9.53678041433463e-05
9,0.00010363263985651508,0.0002788888184895665
10,0.00011670425403950299,8.10174585128003e-05
11,9.422699251490379e-05,0.0002074022445890863
12,0.00010815389675172793,0.00018592654480099004
13,0.00011037942047604917,6.484118477858361e-05
14,6.774321171083608e-05,7.975779390745233e-05
15,0.0001051121176468551,6.0074611842871704e-05
16,7.130456589979344e-05,7.44391510514332e-05
17,7.031650898613534e-05,5.763664190515371e-05
18,0.00010714203847372767,4.746247160065614e-05
19,5.48005073276809e-05,5.4375351718061285e-05
20,9.72819167373904e-05,6.04726306010185e-05
21,5.045471475522697e-05,6.324057271611998e-05
22,5.653203601467286e-05,5.56228241697743e-05
23,6.144846383230786e-05,4.644524708415229e-05
24,6.060094775071543e-05,4.532030801351924e-05
25,7.046193102735261e-05,4.319650636351862e-05
26,6.495894692731667e-05,3.764294899176638e-05
27,4.4362362702882546e-05,7.497215081508782e-05
28,5.945233326431237e-05,3.954567853344925e-05
29,4.068555936044182e-05,3.918446077637001e-05
30,4.445591806890501e-05,3.782388097133045e-05
31,5.45395546002892e-05,3.876491406693066e-05
32,4.1728481846094455e-05,3.5103141687156656e-05
33,4.860985182239859e-05,0.00014967739701765657
34,4.365821287839598e-05,4.5399925744524065e-05
35,4.92392874496638e-05,7.022565326260108e-05
36,3.761409077290587e-05,8.005273792962412e-05
37,5.867825781089511e-05,3.5874542275754115e-05
38,4.3773196245828936e-05,0.0003898198551650943
39,4.755746593307965e-05,3.4325896526521106e-05
40,3.483270426010945e-05,4.2028938445438876e-05
41,4.1322164063035044e-05,7.272141129252011e-05
42,4.060739237539846e-05,3.38195547476966e-05
43,4.445169780365992e-05,3.7242387727923735e-05
44,3.4485604330671036e-05,3.866212711028892e-05
45,3.7350331346282267e-05,3.0811954110283354e-05
46,3.955599063732378e-05,3.1134493703760555e-05
47,4.24167369371105e-05,5.785849765548219e-05
48,3.028712634236112e-05,3.211027122839975e-05
49,3.0294963943789984e-05,3.706123764721392e-05
50,5.478809958413711e-05,2.869126634980752e-05
