epoch,train_loss,val_loss
1,0.005198424288971306,0.000318453544514959
2,0.00039656689098230275,0.0001735226563974718
3,0.00028879552916472387,0.00016789562806092753
4,0.00014562146534648272,0.00011994646437330387
5,0.0003521178734553034,0.00011227033909422031
6,0.00011416744755612952,8.633917090014184e-05
7,0.00010491391118180754,7.866257493086637e-05
8,9.110239684434587e-05,6.464995853449727e-05
9,9.15469524703458e-05,0.00028315945704257057
10,8.478831380396235e-05,5.390906630304238e-05
11,7.412515613218657e-05,4.706083000526856e-05
12,6.269702184005814e-05,6.295852375288616e-05
13,5.973805251635399e-05,4.504060395693086e-05
14,5.895873327812651e-05,6.085240383172788e-05
15,5.5026547620108885e-05,4.5594600396332346e-05
16,4.837406029599779e-05,5.7084539912129366e-05
17,4.8884084107661436e-05,3.378928781889288e-05
18,5.691126348990657e-05,3.9090265017044524e-05
19,3.620887634917849e-05,4.332292894426523e-05
20,4.202096647404421e-05,3.887651319035767e-05
21,4.222278923988525e-05,3.976024493513329e-05
22,4.040063542501073e-05,5.1233817370782605e-05
23,3.525892767608776e-05,2.6653901271010724e-05
24,3.821028363279739e-05,3.965080465681804e-05
25,3.840950167404599e-05,2.5137130802185845e-05
26,3.741458292740861e-05,2.8642538567355153e-05
27,3.26021728643122e-05,2.9800129521254825e-05
28,3.533411968610901e-05,3.371474208279183e-05
29,2.824150367915177e-05,3.9360889888862464e-05
30,3.0238938950222357e-05,5.8322215367564035e-05
31,2.8681836005217908e-05,2.5574006831605353e-05
32,3.267511584014356e-05,3.1105013513993894e-05
33,2.9112623914042333e-05,2.8513028949763454e-05
