epoch,train_loss,val_loss
1,0.006338685448376388,0.0003572301930799835
2,0.00018651313144521045,0.0004940124544201167
3,0.00012543204004736647,9.073454374906345e-05
4,0.00010582897941689007,0.00012299669436875314
5,0.00011492096435859036,0.0001537335373144648
6,9.717318853749513e-05,6.391661499759834e-05
7,8.634976889148092e-05,8.68820301549939e-05
8,9.179655390094237e-05,5.2209980427876174e-05
9,7.889969191074948e-05,0.00027441848250204885
10,6.146510351010882e-05,4.7857165983717906e-05
11,7.193973530482563e-05,0.00014027870856679695
12,6.271560045527288e-05,0.00011862294110143335
13,7.08862425794135e-05,4.5464791844982654e-05
14,4.9886538151034595e-05,9.59395603204742e-05
15,7.395234404227163e-05,4.1195378341730064e-05
16,4.5982088596138e-05,4.780910361266854e-05
17,4.7861636716047557e-05,3.799823718818466e-05
18,4.6860335129190344e-05,3.7149245795069736e-05
19,4.7615822549473274e-05,3.16701018534998e-05
20,4.020948390136359e-05,2.960128425730686e-05
21,4.345996238469314e-05,3.39321947827176e-05
22,3.784227046401528e-05,0.00012074070643699251
23,4.2273146050158316e-05,2.557277748277243e-05
24,3.2569297072263015e-05,3.8663164971398025e-05
25,3.5661372337919316e-05,3.1608306913028215e-05
26,3.578257277923374e-05,2.2417073675532793e-05
27,3.422255081828256e-05,2.2479911313432323e-05
28,3.1016537897228965e-05,0.0002704071348482528
29,2.855755248139614e-05,2.771158620758092e-05
30,2.7108501938852605e-05,2.8535696406400778e-05
31,2.885224017441495e-05,2.0187520914917672e-05
32,2.9650828765014317e-05,2.1349906763259315e-05
33,2.3357402942982457e-05,5.5839485679939597e-05
34,2.905571303562874e-05,1.9419108025494137e-05
35,2.1614145608641406e-05,1.802101623689982e-05
36,3.1036528222377316e-05,1.6839910079861436e-05
37,2.1281494974295022e-05,7.761753032237905e-05
38,2.411921129191794e-05,1.6422376537159718e-05
39,2.4353835475746842e-05,1.5554678739679312e-05
40,2.132156899407232e-05,1.5701346228239496e-05
41,2.237033420384974e-05,3.618040198479278e-05
42,2.307531478316585e-05,2.4822269454987305e-05
43,2.1130202194561566e-05,2.4870643176922384e-05
44,2.170184957250737e-05,4.1828457833598724e-05
45,2.3017057157179604e-05,1.5908050756318288e-05
46,1.9314567519707405e-05,1.5165478791373606e-05
47,2.0364782621511336e-05,1.7422273075930585e-05
48,1.9474748363040818e-05,2.3894132613566408e-05
49,2.6593977039856743e-05,5.1625246262892336e-05
50,1.5203900769179966e-05,2.592573021801535e-05
