epoch,train_loss,val_loss
1,0.007466292177459767,0.007598512022447629
2,0.0070808751244914765,0.0028955853134482244
3,0.0004976827788703232,0.0002603570343411838
4,0.00020514985032947834,0.00018535219394579604
5,0.00016299482534548723,0.0003606504730934499
6,0.00011955824552573559,0.00010411571098266433
7,0.00012065268839239861,8.915810685948228e-05
8,8.827004016071217e-05,8.260419735657456e-05
9,8.419108630227977e-05,6.701260536800558e-05
10,6.995611177448762e-05,0.00011696561263423662
11,7.180542378896583e-05,5.359448745091701e-05
12,5.5018271731732595e-05,4.929715100272285e-05
13,4.701636127342227e-05,5.551183634536758e-05
14,5.265805451737452e-05,4.313286921381826e-05
15,4.321325466341486e-05,3.901396913169012e-05
16,7.559427398565424e-05,3.5865775659579226e-05
17,3.6323119073868405e-05,3.428555733695902e-05
18,3.6636739252258935e-05,3.5380942640128616e-05
19,3.2212910157193545e-05,3.141389764033387e-05
20,3.370951506914603e-05,3.0667945508029635e-05
21,4.318054154417844e-05,3.253983680388779e-05
22,2.9073704022793718e-05,3.2505632090434716e-05
23,3.3418332252003184e-05,3.285608540114663e-05
24,2.394170389563302e-05,2.744454352442728e-05
25,5.221126203770751e-05,2.9428430979916045e-05
26,2.2033598374281308e-05,2.322621675509462e-05
27,3.351724822839778e-05,2.303979140162074e-05
28,2.1790311383611376e-05,3.425530065474545e-05
29,2.5199544365064233e-05,2.5658875677280505e-05
30,2.0975213744141074e-05,2.344409734454635e-05
31,2.779605280801561e-05,2.186128005764929e-05
32,2.995694031474155e-05,2.1249904735678678e-05
33,2.7909401442414738e-05,2.138257184008596e-05
34,1.8526047088319177e-05,1.8447349531239955e-05
35,3.040173637144013e-05,7.791119195736586e-05
36,1.8834184716049927e-05,1.827398526538563e-05
37,2.0079501800998285e-05,6.574027100892727e-05
38,3.58559258055371e-05,0.0001833053938272409
39,2.4385135445535617e-05,2.334893168447421e-05
40,2.106153700064265e-05,1.8530741974133335e-05
41,1.873261264271483e-05,1.8263783980961694e-05
42,2.1983471893484222e-05,2.2474116763976074e-05
43,2.7661035401706145e-05,1.9676823348104135e-05
44,1.5780138493880858e-05,2.0785714348438724e-05
45,2.45547917764291e-05,1.99152412667377e-05
46,2.1755376349798132e-05,5.9298362212177834e-05
47,1.6667336395747007e-05,1.7016911653952546e-05
48,1.7486326526641715e-05,2.4618147828198623e-05
49,2.6648286265769122e-05,0.0006464862407829495
50,2.5238204793664348e-05,2.5960624767608856e-05
