category,split,defect_type,label,sample_id,sample_position,image_height,image_width,patch_count,image_score,heatmap_path,figure_path,ground_truth_pixel_count
bagel,test,good,0,0,0,256,272,222,0.010788296349346638,outputs/metrics/autoencoder_heatmaps/bagel_preview_compare/bagel/good/0_heatmap.npy,fig/05_autoencoder/bagel_preview_compare_heatmaps/bagel/good/0_heatmap.png,0
bagel,test,good,0,1,1,256,272,216,0.013412627391517162,outputs/metrics/autoencoder_heatmaps/bagel_preview_compare/bagel/good/1_heatmap.npy,,0
bagel,test,good,0,2,2,256,272,221,0.010464192368090153,outputs/metrics/autoencoder_heatmaps/bagel_preview_compare/bagel/good/2_heatmap.npy,,0
bagel,test,good,0,3,3,256,272,224,0.014523625373840332,outputs/metrics/autoencoder_heatmaps/bagel_preview_compare/bagel/good/3_heatmap.npy,,0
bagel,test,good,0,4,4,256,272,220,0.013602488674223423,outputs/metrics/autoencoder_heatmaps/bagel_preview_compare/bagel/good/4_heatmap.npy,,0
bagel,test,good,0,5,5,256,272,220,0.01220571156591177,outputs/metrics/autoencoder_heatmaps/bagel_preview_compare/bagel/good/5_heatmap.npy,,0
bagel,test,good,0,6,6,256,272,222,0.01341849472373724,outputs/metrics/autoencoder_heatmaps/bagel_preview_compare/bagel/good/6_heatmap.npy,,0
bagel,test,good,0,7,7,256,272,223,0.01088263001292944,outputs/metrics/autoencoder_heatmaps/bagel_preview_compare/bagel/good/7_heatmap.npy,,0
bagel,test,good,0,8,8,256,272,221,0.012224956415593624,outputs/metrics/autoencoder_heatmaps/bagel_preview_compare/bagel/good/8_heatmap.npy,,0
bagel,test,good,0,9,9,256,272,222,0.010756553150713444,outputs/metrics/autoencoder_heatmaps/bagel_preview_compare/bagel/good/9_heatmap.npy,,0
bagel,test,good,0,10,10,256,272,225,0.011904903687536716,outputs/metrics/autoencoder_heatmaps/bagel_preview_compare/bagel/good/10_heatmap.npy,,0
