category,split,defect_type,label,sample_id,sample_position,patch_position,top,bottom,left,right,valid_fraction,score
bagel,test,good,0,0,0,2,0,32,32,64,0.02734375,0.007234140299260616
bagel,test,good,0,0,0,3,0,32,48,80,0.19921875,0.003973667975515127
bagel,test,good,0,0,0,4,0,32,64,96,0.4619140625,0.003209574380889535
bagel,test,good,0,0,0,5,0,32,80,112,0.6376953125,0.002334535587579012
bagel,test,good,0,0,0,6,0,32,96,128,0.7060546875,0.0021959454752504826
bagel,test,good,0,0,0,7,0,32,112,144,0.7158203125,0.0020260149613022804
bagel,test,good,0,0,0,8,0,32,128,160,0.7041015625,0.0022303631994873285
bagel,test,good,0,0,0,9,0,32,144,176,0.6357421875,0.002997535979375243
bagel,test,good,0,0,0,10,0,32,160,192,0.4873046875,0.004501800052821636
bagel,test,good,0,0,0,11,0,32,176,208,0.2744140625,0.0076733967289328575
bagel,test,good,0,0,0,12,0,32,192,224,0.076171875,0.01050130371004343
bagel,test,good,0,0,0,17,16,48,16,48,0.05859375,0.0032945722341537476
bagel,test,good,0,0,0,18,16,48,32,64,0.3193359375,0.002863811794668436
bagel,test,good,0,0,0,19,16,48,48,80,0.6806640625,0.0026014794129878283
bagel,test,good,0,0,0,20,16,48,64,96,0.91796875,0.0022641485556960106
bagel,test,good,0,0,0,21,16,48,80,112,0.9970703125,0.0019659006502479315
bagel,test,good,0,0,0,22,16,48,96,128,0.9990234375,0.001829381799325347
bagel,test,good,0,0,0,23,16,48,112,144,1.0,0.0016726463800296187
bagel,test,good,0,0,0,24,16,48,128,160,0.9990234375,0.001687949406914413
bagel,test,good,0,0,0,25,16,48,144,176,0.9990234375,0.0020095454528927803
bagel,test,good,0,0,0,26,16,48,160,192,0.9482421875,0.0030701374635100365
bagel,test,good,0,0,0,27,16,48,176,208,0.7744140625,0.004298489075154066
bagel,test,good,0,0,0,28,16,48,192,224,0.478515625,0.004543055780231953
bagel,test,good,0,0,0,29,16,48,208,240,0.154296875,0.00788089632987976
bagel,test,good,0,0,0,32,32,64,0,32,0.0205078125,0.019010040909051895
bagel,test,good,0,0,0,33,32,64,16,48,0.3115234375,0.0027307807467877865
bagel,test,good,0,0,0,34,32,64,32,64,0.7744140625,0.0022871652618050575
bagel,test,good,0,0,0,35,32,64,48,80,0.9814453125,0.0017201837617903948
bagel,test,good,0,0,0,36,32,64,64,96,0.998046875,0.0012008281191810966
bagel,test,good,0,0,0,37,32,64,80,112,1.0,0.0011374963214620948
bagel,test,good,0,0,0,38,32,64,96,128,1.0,0.001423301175236702
bagel,test,good,0,0,0,39,32,64,112,144,1.0,0.001832716865465045
bagel,test,good,0,0,0,40,32,64,128,160,0.9970703125,0.002169332467019558
bagel,test,good,0,0,0,41,32,64,144,176,0.99609375,0.0018244768725708127
bagel,test,good,0,0,0,42,32,64,160,192,0.9990234375,0.001974727725610137
bagel,test,good,0,0,0,43,32,64,176,208,1.0,0.0019100807840004563
