category,model,train_patch_count,val_patch_count,epochs_completed,best_epoch,best_val_loss,device,checkpoint_path,history_path,figure_root,model_config
bagel,conv_autoencoder,53646,4858,29,21,2.8255209294992266e-05,mps,outputs/models/autoencoder/bagel/conv_autoencoder.pt,outputs/metrics/autoencoder_histories/bagel.csv,fig/05_autoencoder/training/bagel,"{'name': 'conv_autoencoder', 'in_channels': 1, 'encoder_channels': [16, 32, 64], 'latent_channels': 64}"
cable_gland,conv_autoencoder,41056,4425,50,50,2.869126634980752e-05,mps,outputs/models/autoencoder/cable_gland/conv_autoencoder.pt,outputs/metrics/autoencoder_histories/cable_gland.csv,fig/05_autoencoder/training/cable_gland,"{'name': 'conv_autoencoder', 'in_channels': 1, 'encoder_channels': [16, 32, 64], 'latent_channels': 64}"
carrot,conv_autoencoder,50569,5144,50,48,5.21320833068328e-05,mps,outputs/models/autoencoder/carrot/conv_autoencoder.pt,outputs/metrics/autoencoder_histories/carrot.csv,fig/05_autoencoder/training/carrot,"{'name': 'conv_autoencoder', 'in_channels': 1, 'encoder_channels': [16, 32, 64], 'latent_channels': 64}"
cookie,conv_autoencoder,43746,4643,48,40,2.0538451248510003e-05,mps,outputs/models/autoencoder/cookie/conv_autoencoder.pt,outputs/metrics/autoencoder_histories/cookie.csv,fig/05_autoencoder/training/cookie,"{'name': 'conv_autoencoder', 'in_channels': 1, 'encoder_channels': [16, 32, 64], 'latent_channels': 64}"
dowel,conv_autoencoder,34100,3987,42,34,8.631510097057058e-05,mps,outputs/models/autoencoder/dowel/conv_autoencoder.pt,outputs/metrics/autoencoder_histories/dowel.csv,fig/05_autoencoder/training/dowel,"{'name': 'conv_autoencoder', 'in_channels': 1, 'encoder_channels': [16, 32, 64], 'latent_channels': 64}"
foam,conv_autoencoder,56489,6476,33,25,2.5137130802185845e-05,mps,outputs/models/autoencoder/foam/conv_autoencoder.pt,outputs/metrics/autoencoder_histories/foam.csv,fig/05_autoencoder/training/foam,"{'name': 'conv_autoencoder', 'in_channels': 1, 'encoder_channels': [16, 32, 64], 'latent_channels': 64}"
peach,conv_autoencoder,74500,8623,39,31,2.1104187454393255e-05,mps,outputs/models/autoencoder/peach/conv_autoencoder.pt,outputs/metrics/autoencoder_histories/peach.csv,fig/05_autoencoder/training/peach,"{'name': 'conv_autoencoder', 'in_channels': 1, 'encoder_channels': [16, 32, 64], 'latent_channels': 64}"
potato,conv_autoencoder,62339,6880,16,8,0.020782510728337044,mps,outputs/models/autoencoder/potato/conv_autoencoder.pt,outputs/metrics/autoencoder_histories/potato.csv,fig/05_autoencoder/training/potato,"{'name': 'conv_autoencoder', 'in_channels': 1, 'encoder_channels': [16, 32, 64], 'latent_channels': 64}"
rope,conv_autoencoder,73096,7966,50,46,1.5165478791373606e-05,mps,outputs/models/autoencoder/rope/conv_autoencoder.pt,outputs/metrics/autoencoder_histories/rope.csv,fig/05_autoencoder/training/rope,"{'name': 'conv_autoencoder', 'in_channels': 1, 'encoder_channels': [16, 32, 64], 'latent_channels': 64}"
tire,conv_autoencoder,47769,6731,50,47,1.7016911653952546e-05,mps,outputs/models/autoencoder/tire/conv_autoencoder.pt,outputs/metrics/autoencoder_histories/tire.csv,fig/05_autoencoder/training/tire,"{'name': 'conv_autoencoder', 'in_channels': 1, 'encoder_channels': [16, 32, 64], 'latent_channels': 64}"
