category,split,defect_type,label,sample_id,sample_position,image_height,image_width,patch_count,image_score,heatmap_path,figure_path,ground_truth_pixel_count
bagel,test,good,0,0,0,256,272,222,15.42479419708252,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/good/0_heatmap.npy,fig/04_classical/bagel_preview_compare_heatmaps/bagel/good/0_heatmap.png,0
bagel,test,good,0,1,1,256,272,216,48.57928466796875,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/good/1_heatmap.npy,,0
bagel,test,good,0,2,2,256,272,221,7.675290584564209,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/good/2_heatmap.npy,,0
bagel,test,good,0,3,3,256,272,224,25.925687789916992,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/good/3_heatmap.npy,,0
bagel,test,good,0,4,4,256,272,220,15.702432632446289,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/good/4_heatmap.npy,,0
bagel,test,good,0,5,5,256,272,220,-0.9421080946922302,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/good/5_heatmap.npy,,0
bagel,test,good,0,6,6,256,272,222,13.038097381591797,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/good/6_heatmap.npy,,0
bagel,test,good,0,7,7,256,272,223,7.150442123413086,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/good/7_heatmap.npy,,0
bagel,test,good,0,8,8,256,272,221,7.426093578338623,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/good/8_heatmap.npy,,0
bagel,test,good,0,9,9,256,272,222,11.855406761169434,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/good/9_heatmap.npy,,0
bagel,test,good,0,10,10,256,272,225,9.451706886291504,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/good/10_heatmap.npy,,0
bagel,test,good,0,11,11,272,256,221,13.116314888000488,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/good/11_heatmap.npy,,0
bagel,test,good,0,12,12,272,256,221,17.185523986816406,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/good/12_heatmap.npy,,0
bagel,test,good,0,13,13,256,272,221,8.632136344909668,outputs/metrics/classical_heatmaps/bagel_preview_compare/bagel/good/13_heatmap.npy,,0
