category,split,defect_type,label,sample_id,sample_position,patch_position,top,bottom,left,right,valid_fraction,score
bagel,test,good,0,0,0,2,0,32,32,64,0.02734375,-40.55671310424805
bagel,test,good,0,0,0,3,0,32,48,80,0.19921875,-39.64152908325195
bagel,test,good,0,0,0,4,0,32,64,96,0.4619140625,-40.43062210083008
bagel,test,good,0,0,0,5,0,32,80,112,0.6376953125,-41.59650802612305
bagel,test,good,0,0,0,6,0,32,96,128,0.7060546875,-42.50722885131836
bagel,test,good,0,0,0,7,0,32,112,144,0.7158203125,-43.62986755371094
bagel,test,good,0,0,0,8,0,32,128,160,0.7041015625,-44.75001525878906
bagel,test,good,0,0,0,9,0,32,144,176,0.6357421875,-44.44108581542969
bagel,test,good,0,0,0,10,0,32,160,192,0.4873046875,-43.88599395751953
bagel,test,good,0,0,0,11,0,32,176,208,0.2744140625,-41.697628021240234
bagel,test,good,0,0,0,12,0,32,192,224,0.076171875,-38.294105529785156
bagel,test,good,0,0,0,17,16,48,16,48,0.05859375,-35.967628479003906
bagel,test,good,0,0,0,18,16,48,32,64,0.3193359375,-34.795143127441406
bagel,test,good,0,0,0,19,16,48,48,80,0.6806640625,-36.195804595947266
bagel,test,good,0,0,0,20,16,48,64,96,0.91796875,-40.892635345458984
bagel,test,good,0,0,0,21,16,48,80,112,0.9970703125,-42.647769927978516
bagel,test,good,0,0,0,22,16,48,96,128,0.9990234375,-43.532867431640625
bagel,test,good,0,0,0,23,16,48,112,144,1.0,-43.859458923339844
bagel,test,good,0,0,0,24,16,48,128,160,0.9990234375,-43.97354507446289
bagel,test,good,0,0,0,25,16,48,144,176,0.9990234375,-43.083316802978516
bagel,test,good,0,0,0,26,16,48,160,192,0.9482421875,-42.0568733215332
bagel,test,good,0,0,0,27,16,48,176,208,0.7744140625,-42.60218811035156
bagel,test,good,0,0,0,28,16,48,192,224,0.478515625,-42.95815658569336
bagel,test,good,0,0,0,29,16,48,208,240,0.154296875,-40.576698303222656
bagel,test,good,0,0,0,32,32,64,0,32,0.0205078125,-31.926549911499023
bagel,test,good,0,0,0,33,32,64,16,48,0.3115234375,-30.592878341674805
bagel,test,good,0,0,0,34,32,64,32,64,0.7744140625,-30.653430938720703
bagel,test,good,0,0,0,35,32,64,48,80,0.9814453125,-38.57438659667969
bagel,test,good,0,0,0,36,32,64,64,96,0.998046875,-40.21909713745117
bagel,test,good,0,0,0,37,32,64,80,112,1.0,-40.0595817565918
bagel,test,good,0,0,0,38,32,64,96,128,1.0,-39.41163635253906
bagel,test,good,0,0,0,39,32,64,112,144,1.0,-38.69974899291992
bagel,test,good,0,0,0,40,32,64,128,160,0.9970703125,-38.219783782958984
bagel,test,good,0,0,0,41,32,64,144,176,0.99609375,-38.598960876464844
bagel,test,good,0,0,0,42,32,64,160,192,0.9990234375,-40.299560546875
bagel,test,good,0,0,0,43,32,64,176,208,1.0,-41.82118606567383
bagel,test,good,0,0,0,44,32,64,192,224,0.90234375,-42.923240661621094
bagel,test,good,0,0,0,45,32,64,208,240,0.5419921875,-41.761295318603516
bagel,test,good,0,0,0,46,32,64,224,256,0.1396484375,-41.680999755859375
bagel,test,good,0,0,0,48,48,80,0,32,0.1416015625,-27.632909774780273
bagel,test,good,0,0,0,49,48,80,16,48,0.623046875,-27.394609451293945
bagel,test,good,0,0,0,50,48,80,32,64,0.9814453125,-31.898881912231445
bagel,test,good,0,0,0,51,48,80,48,80,1.0,-35.56266403198242
bagel,test,good,0,0,0,52,48,80,64,96,1.0,-37.63056564331055
bagel,test,good,0,0,0,53,48,80,80,112,1.0,-37.05870819091797
bagel,test,good,0,0,0,54,48,80,96,128,1.0,-35.052879333496094
bagel,test,good,0,0,0,55,48,80,112,144,1.0,-33.76993179321289
bagel,test,good,0,0,0,56,48,80,128,160,0.9970703125,-32.16689682006836
bagel,test,good,0,0,0,57,48,80,144,176,0.99609375,-31.393508911132812
bagel,test,good,0,0,0,58,48,80,160,192,0.9990234375,-31.769229888916016
bagel,test,good,0,0,0,59,48,80,176,208,1.0,-35.985111236572266
bagel,test,good,0,0,0,60,48,80,192,224,1.0,-42.079837799072266
bagel,test,good,0,0,0,61,48,80,208,240,0.884765625,-44.71934509277344
bagel,test,good,0,0,0,62,48,80,224,256,0.4423828125,-41.143917083740234
bagel,test,good,0,0,0,63,48,80,240,272,0.0576171875,-41.105690002441406
bagel,test,good,0,0,0,64,64,96,0,32,0.333984375,-26.07046127319336
bagel,test,good,0,0,0,65,64,96,16,48,0.8330078125,-23.05809211730957
bagel,test,good,0,0,0,66,64,96,32,64,0.9990234375,-30.30850601196289
bagel,test,good,0,0,0,67,64,96,48,80,1.0,-32.76731872558594
bagel,test,good,0,0,0,68,64,96,64,96,1.0,-35.20811080932617
bagel,test,good,0,0,0,69,64,96,80,112,1.0,-35.65416717529297
bagel,test,good,0,0,0,70,64,96,96,128,1.0,-33.8252067565918
bagel,test,good,0,0,0,71,64,96,112,144,0.998046875,-33.48599624633789
bagel,test,good,0,0,0,72,64,96,128,160,0.998046875,-30.491849899291992
bagel,test,good,0,0,0,73,64,96,144,176,1.0,-25.80894660949707
bagel,test,good,0,0,0,74,64,96,160,192,1.0,-23.98184585571289
bagel,test,good,0,0,0,75,64,96,176,208,1.0,-26.535310745239258
bagel,test,good,0,0,0,76,64,96,192,224,1.0,-34.688812255859375
bagel,test,good,0,0,0,77,64,96,208,240,0.9970703125,-43.47502136230469
bagel,test,good,0,0,0,78,64,96,224,256,0.76171875,-43.221797943115234
bagel,test,good,0,0,0,79,64,96,240,272,0.2666015625,-39.977500915527344
bagel,test,good,0,0,0,80,80,112,0,32,0.46875,-23.728574752807617
bagel,test,good,0,0,0,81,80,112,16,48,0.9541015625,-20.6664981842041
bagel,test,good,0,0,0,82,80,112,32,64,1.0,-28.409128189086914
bagel,test,good,0,0,0,83,80,112,48,80,1.0,-31.968929290771484
bagel,test,good,0,0,0,84,80,112,64,96,1.0,-34.9713249206543
bagel,test,good,0,0,0,85,80,112,80,112,0.9990234375,-31.211383819580078
bagel,test,good,0,0,0,86,80,112,96,128,0.9619140625,-14.150840759277344
