category,model,feature_mode,fill_strategy,train_patch_count,val_patch_count,input_feature_count,model_feature_count,pca_components_requested,pca_components_effective,train_score_mean,train_score_std,val_score_mean,val_score_std,model_path,scaler_path,pca_path,feature_metadata_path
bagel,ocsvm,raw_depth,patch_mean,20000,4858,1024,64,64,64,-22.866355895996094,15.251070022583008,-23.135807037353516,15.444901466369629,outputs/models/classical/bagel/ocsvm.joblib,outputs/models/classical/bagel/scaler.joblib,outputs/models/classical/bagel/pca.joblib,outputs/models/classical/bagel/features.json
cable_gland,ocsvm,raw_depth,patch_mean,20000,4425,1024,64,64,64,-31.063371658325195,20.598308563232422,-31.88747215270996,19.48348617553711,outputs/models/classical/cable_gland/ocsvm.joblib,outputs/models/classical/cable_gland/scaler.joblib,outputs/models/classical/cable_gland/pca.joblib,outputs/models/classical/cable_gland/features.json
carrot,ocsvm,raw_depth,patch_mean,20000,5000,1024,64,64,64,-23.638805389404297,14.5800199508667,-23.370403289794922,15.228609085083008,outputs/models/classical/carrot/ocsvm.joblib,outputs/models/classical/carrot/scaler.joblib,outputs/models/classical/carrot/pca.joblib,outputs/models/classical/carrot/features.json
cookie,ocsvm,raw_depth,patch_mean,20000,4643,1024,64,64,64,-11.30324649810791,9.517837524414062,-11.971505165100098,6.097156524658203,outputs/models/classical/cookie/ocsvm.joblib,outputs/models/classical/cookie/scaler.joblib,outputs/models/classical/cookie/pca.joblib,outputs/models/classical/cookie/features.json
dowel,ocsvm,raw_depth,patch_mean,20000,3987,1024,64,64,64,-32.82557678222656,19.538660049438477,-33.8782844543457,18.876575469970703,outputs/models/classical/dowel/ocsvm.joblib,outputs/models/classical/dowel/scaler.joblib,outputs/models/classical/dowel/pca.joblib,outputs/models/classical/dowel/features.json
foam,ocsvm,raw_depth,patch_mean,20000,5000,1024,64,64,64,-22.716333389282227,16.9501895904541,-22.014820098876953,17.343355178833008,outputs/models/classical/foam/ocsvm.joblib,outputs/models/classical/foam/scaler.joblib,outputs/models/classical/foam/pca.joblib,outputs/models/classical/foam/features.json
peach,ocsvm,raw_depth,patch_mean,20000,5000,1024,64,64,64,-19.613950729370117,15.342193603515625,-19.908065795898438,15.531292915344238,outputs/models/classical/peach/ocsvm.joblib,outputs/models/classical/peach/scaler.joblib,outputs/models/classical/peach/pca.joblib,outputs/models/classical/peach/features.json
potato,ocsvm,raw_depth,patch_mean,20000,5000,1024,64,64,64,-16.094789505004883,15.911234855651855,-16.655887603759766,15.684378623962402,outputs/models/classical/potato/ocsvm.joblib,outputs/models/classical/potato/scaler.joblib,outputs/models/classical/potato/pca.joblib,outputs/models/classical/potato/features.json
rope,ocsvm,raw_depth,patch_mean,20000,5000,1024,64,64,64,-6.165707111358643,5.169154167175293,-6.021352291107178,5.246132850646973,outputs/models/classical/rope/ocsvm.joblib,outputs/models/classical/rope/scaler.joblib,outputs/models/classical/rope/pca.joblib,outputs/models/classical/rope/features.json
tire,ocsvm,raw_depth,patch_mean,20000,5000,1024,64,64,64,-17.940420150756836,17.493406295776367,-18.20330047607422,17.95673179626465,outputs/models/classical/tire/ocsvm.joblib,outputs/models/classical/tire/scaler.joblib,outputs/models/classical/tire/pca.joblib,outputs/models/classical/tire/features.json
