category,method,image_count,positive_count,negative_count,score_mean,score_std,score_min,score_max,auroc,ap
bagel,autoencoder,110,88,22,0.013392443768680096,0.003057026769965887,0.007881143130362034,0.028161000460386276,0.659607438016529,0.9052066053785295
bagel,classical,110,88,22,16.73845100402832,15.7059326171875,-6.441166400909424,55.070465087890625,0.4597107438016529,0.8122901071895821
cable_gland,autoencoder,108,87,21,0.01553349383175373,0.0041746050119400024,0.008697827346622944,0.029742548242211342,0.43732895457033394,0.7757352595912312
cable_gland,classical,108,87,21,17.358713150024414,26.169811248779297,-14.88070011138916,106.19364929199219,0.5145046524356869,0.798163537535448
carrot,autoencoder,159,132,27,0.018068471923470497,0.006990903057157993,0.009004764258861542,0.041822709143161774,0.5255331088664421,0.8626158367133319
carrot,classical,159,132,27,18.54114532470703,38.0228157043457,-10.794224739074707,188.9806365966797,0.5016835016835017,0.8618204840637155
cookie,autoencoder,131,103,28,0.014994794502854347,0.005203564185649157,0.007597729098051786,0.03360658138990402,0.8190013869625521,0.9484004866840269
cookie,classical,131,103,28,30.952558517456055,19.802127838134766,-6.722311019897461,64.31017303466797,0.6969486823855755,0.8858395862922519
dowel,autoencoder,130,104,26,0.02035381644964218,0.0049227699637413025,0.01336331944912672,0.05541161820292473,0.4815088757396449,0.7713438950523062
dowel,classical,130,104,26,4.985010623931885,8.01638126373291,-13.599239349365234,29.03108024597168,0.430103550295858,0.7522017781492698
foam,autoencoder,100,80,20,0.007891198620200157,0.0016484339721500874,0.005305896978825331,0.015256243757903576,0.595,0.8175024401943605
foam,classical,100,80,20,5.60830020904541,9.085943222045898,-8.865554809570312,48.98392868041992,0.43500000000000005,0.7800258281788804
peach,autoencoder,132,106,26,0.012474095448851585,0.004078053869307041,0.006707291584461927,0.03474963456392288,0.5540638606676342,0.830610594062039
peach,classical,132,106,26,21.10774040222168,29.69512939453125,-21.72539520263672,125.36882019042969,0.6705370101596516,0.8844188923299839
potato,autoencoder,114,92,22,0.39654216170310974,0.18898767232894897,0.16312512755393982,0.7836967706680298,0.4782608695652174,0.8159171181408987
potato,classical,114,92,22,29.30719566345215,45.704734802246094,-12.987386703491211,139.51011657714844,0.4772727272727273,0.8373543699400319
rope,autoencoder,101,69,32,0.011672073975205421,0.009027932770550251,0.00455881142988801,0.0626859962940216,0.8609601449275361,0.938854020228993
rope,classical,101,69,32,11.158763885498047,13.763790130615234,-0.4928186535835266,68.22847747802734,0.8070652173913044,0.918837579321536
tire,autoencoder,112,87,25,0.012480871751904488,0.008421029895544052,0.0061045303009450436,0.04491359367966652,0.400919540229885,0.7360391953688015
tire,classical,112,87,25,46.16985321044922,83.79444122314453,-10.085274696350098,247.9146270751953,0.4220689655172414,0.7762020149956366
